Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor metro quadarado bruto;Tipo Agregado
Apartamento;Maracanã;2;0;0;79;1700.0;600.0;0.0;29.11392405063291;Apartamento
Apartamento;Copacabana;1;1;0;150;3000.0;1200.0;390.0;30.6;Apartamento
Apartamento;Barra da Tijuca;3;2;3;156;5500.0;2300.0;398.0;52.55128205128205;Apartamento
Apartamento;Flamengo;1;0;1;38;1450.0;690.0;55.0;57.76315789473684;Apartamento
Apartamento;Botafogo;2;0;0;115;2200.0;1045.0;190.0;29.869565217391305;Apartamento
Apartamento;Tijuca;2;0;0;49;1800.0;180.0;0.0;40.40816326530612;Apartamento
Apartamento;Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0;41.875;Apartamento
Apartamento;Copacabana;2;0;0;120;3800.0;1000.0;197.0;41.641666666666666;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0;37.15714285714286;Apartamento
Apartamento;Bonsucesso;3;1;0;98;2800.0;390.0;0.0;32.55102040816327;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;0.0;59.85714285714285;Apartamento
Apartamento;Flamengo;2;1;0;90;3200.0;980.0;0.0;46.44444444444444;Apartamento
Apartamento;Ipanema;2;0;0;99;3300.0;920.0;0.0;42.62626262626262;Apartamento
Apartamento;Copacabana;3;1;0;80;3100.0;700.0;1208.0;62.6;Apartamento
Apartamento;Copacabana;2;1;0;74;2600.0;1021.0;0.0;48.93243243243244;Apartamento
Apartamento;Humaitá;2;1;0;75;2900.0;926.0;90.0;52.21333333333333;Apartamento
Apartamento;Barra da Tijuca;4;3;4;250;9500.0;2800.0;523.0;51.292;Apartamento
