Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor metro quadarado bruto;Tipo Agregado
Conjunto Comercial/Sala;Centro;0;0;0;105;4725.0;2721.0;604.0;76.66666666666667;Apartamento
Apartamento;Botafogo;1;1;1;38;1500.0;480.0;24.0;52.73684210526316;Apartamento
Apartamento;Penha;3;1;0;70;1200.0;200.0;0.0;20.0;Apartamento
Quitinete;Botafogo;1;1;0;64;4000.0;0.0;0.0;62.5;Apartamento
Loja/Salão;Ipanema;0;0;0;30;100.0;0.0;0.0;3.3333333333333335;Apartamento
Apartamento;Ipanema;2;1;0;56;2600.0;990.0;204.0;67.75;Apartamento
Apartamento;Ipanema;3;1;2;138;7500.0;1920.0;337.0;70.70289855072464;Apartamento
Casa;Freguesia (Jacarepaguá);4;3;0;318;4500.0;0.0;0.0;14.150943396226415;Casa
Apartamento;Botafogo;3;0;0;118;3000.0;1039.0;122.0;35.26271186440678;Apartamento
Loja/Salão;Ipanema;0;0;0;37;5000.0;0.0;487.0;148.2972972972973;Apartamento
Apartamento;Barra da Tijuca;4;3;4;231;6900.0;2750.0;448.0;43.714285714285715;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;63;1600.0;700.0;0.0;36.507936507936506;Apartamento
Apartamento;Ipanema;3;0;2;205;20000.0;3020.0;1200.0;118.14634146341463;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;160;3500.0;750.0;0.0;26.5625;Apartamento
Casa de Condomínio;Recreio dos Bandeirantes;4;6;4;600;8000.0;1800.0;3600.0;22.333333333333332;Casa
Apartamento;Ipanema;2;0;1;60;5000.0;350.0;0.0;89.16666666666667;Apartamento
Apartamento;Ipanema;3;2;2;230;29500.0;3200.0;0.0;142.17391304347825;Apartamento
Conjunto Comercial/Sala;Botafogo;0;60;0;2148;161100.0;68693.0;12365.0;112.73649906890131;Apartamento
Apartamento;Méier;1;0;0;52;1200.0;320.0;0.0;29.23076923076923;Apartamento
Casa de Vila;Piedade;2;0;1;80;1300.0;0.0;0.0;16.25;Casa
Loja/Salão;Leme;0;0;0;2;200.0;0.0;0.0;100.0;Apartamento
Conjunto Comercial/Sala;Centro;0;5;0;1776;110000.0;29900.0;8550.0;83.58671171171171;Apartamento
Apartamento;Flamengo;3;1;1;205;5000.0;1750.0;530.0;35.51219512195122;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;423;11000.0;8830.0;2327.0;52.3806146572104;Apartamento
Apartamento;Pechincha;2;1;0;50;1000.0;500.0;141.0;32.82;Apartamento
Apartamento;Tijuca;3;1;1;93;3000.0;1558.0;0.0;49.01075268817204;Apartamento
Apartamento;Catete;2;0;0;70;2700.0;600.0;72.0;48.17142857142857;Apartamento
Apartamento;São Conrado;5;3;3;302;11000.0;3800.0;650.0;51.158940397350996;Apartamento
Conjunto Comercial/Sala;Curicica;0;1;0;84;800.0;700.0;55.0;18.511904761904763;Apartamento
Loja/Salão;Freguesia (Jacarepaguá);0;1;0;82;8000.0;1083.0;389.0;115.51219512195122;Apartamento
Apartamento;Leblon;4;2;2;220;17000.0;6000.0;762.0;108.00909090909092;Apartamento
Conjunto Comercial/Sala;Campo Grande;0;0;0;70;2000.0;0.0;0.0;28.571428571428573;Apartamento
Apartamento;Flamengo;1;0;0;38;2980.0;350.0;50.0;88.94736842105263;Apartamento
Apartamento;Cascadura;3;1;0;65;1350.0;300.0;0.0;25.384615384615383;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;571;25000.0;12729.0;4971.0;74.78108581436076;Apartamento
Apartamento;Curicica;2;1;1;52;1300.0;524.0;0.0;35.07692307692308;Apartamento
Conjunto Comercial/Sala;Jacarepaguá;0;1;0;30;1800.0;600.0;0.0;80.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;194;2000.0;2128.0;0.0;21.278350515463917;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;36;1300.0;750.0;0.0;56.94444444444444;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;41;900.0;703.0;0.0;39.09756097560975;Apartamento
Apartamento;Copacabana;3;2;1;300;25000.0;2700.0;1400.0;97.0;Apartamento
Apartamento;Barra da Tijuca;4;3;1;160;5800.0;2300.0;33470.0;259.8125;Apartamento
Casa Comercial;Glória;0;2;0;320;38400.0;6729.0;480.0;142.528125;Apartamento
Apartamento;Ipanema;4;1;1;230;13500.0;1700.0;795.0;69.54347826086956;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;2;180;3800.0;1400.0;350.0;30.833333333333332;Apartamento
Apartamento;Barra da Tijuca;4;3;4;148;1500.0;1600.0;196.0;22.27027027027027;Apartamento
Apartamento;Catete;2;1;1;84;3300.0;1336.0;166.0;57.166666666666664;Apartamento
Apartamento;Botafogo;2;1;1;74;3400.0;1563.0;130.0;68.82432432432432;Apartamento
Apartamento;Copacabana;2;1;0;64;2600.0;1030.0;89.0;58.109375;Apartamento
Apartamento;Vaz Lobo;2;1;0;60;800.0;374.0;0.0;19.566666666666666;Apartamento
Apartamento;Vila Isabel;2;0;0;80;1000.0;500.0;25.0;19.0625;Apartamento
Galpão/Depósito/Armazém;Bonsucesso;0;0;0;445;6000.0;0.0;0.0;13.48314606741573;Apartamento
Apartamento;Vila Isabel;2;2;0;61;1700.0;641.0;50.0;39.19672131147541;Apartamento
Apartamento;Humaitá;2;1;1;80;2750.0;754.0;107.0;45.1375;Apartamento
Casa;Barra da Tijuca;5;1;2;244;7000.0;1624.0;618.0;37.877049180327866;Casa
Quitinete;Flamengo;1;0;0;27;1300.0;467.0;54.0;67.44444444444444;Apartamento
Apartamento;Leblon;4;0;1;170;6700.0;2290.0;0.0;52.88235294117647;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;76;4000.0;2257.0;607.0;90.3157894736842;Apartamento
Apartamento;Copacabana;2;0;0;64;2490.0;552.0;73.0;48.671875;Apartamento
Apartamento;Tijuca;3;2;1;135;2500.0;1240.0;0.0;27.703703703703702;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;195;6800.0;4638.0;1265.0;65.14358974358974;Apartamento
Apartamento;Tijuca;3;0;0;100;1600.0;450.0;104.0;21.54;Apartamento
Apartamento;Botafogo;2;1;1;80;4350.0;1100.0;244.0;71.175;Apartamento
Apartamento;Ipanema;4;2;2;182;7500.0;4000.0;618.0;66.58241758241758;Apartamento
Conjunto Comercial/Sala;Ipanema;0;1;0;30;800000.0;1700.0;258.0;26731.933333333334;Apartamento
Apartamento;Barra da Tijuca;1;1;0;58;1900.0;1100.0;0.0;51.724137931034484;Apartamento
Apartamento;Tijuca;3;1;0;148;2200.0;990.0;196.0;22.87837837837838;Apartamento
Galpão/Depósito/Armazém;Bonsucesso;0;0;0;400;8000.0;0.0;635.0;21.5875;Apartamento
Apartamento;Vila Isabel;3;0;0;75;1500.0;580.0;0.0;27.733333333333334;Apartamento
Apartamento;Tijuca;3;0;0;96;1800.0;1000.0;96.0;30.166666666666668;Apartamento
Apartamento;Barra da Tijuca;3;2;1;92;2850.0;1165.0;273.0;46.608695652173914;Apartamento
Apartamento;Copacabana;3;1;0;105;3500.0;1000.0;1200.0;54.285714285714285;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;760;53200.0;11438.0;3317.0;89.41447368421052;Apartamento
Quitinete;Centro;1;0;0;42;650.0;460.0;0.0;26.428571428571427;Apartamento
Casa;Ramos;1;0;1;50;800.0;0.0;0.0;16.0;Casa
Loja/Salão;Leblon;0;0;0;30;4500.0;1486.0;0.0;199.53333333333333;Apartamento
Apartamento;Humaitá;2;1;0;70;2900.0;900.0;0.0;54.285714285714285;Apartamento
Apartamento;Copacabana;3;0;0;110;2700.0;1000.0;220.0;35.63636363636363;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;235;10000.0;4300.0;3600.0;76.17021276595744;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;110;2200.0;569.0;173.0;26.745454545454546;Apartamento
Quitinete;Engenho Novo;1;0;0;30;700.0;100.0;500.0;43.333333333333336;Apartamento
Loja/Salão;Abolição;0;0;0;85;6500.0;0.0;398.0;81.15294117647059;Apartamento
Apartamento;Ipanema;3;2;1;140;10800.0;1917.0;181.0;92.12857142857143;Apartamento
Casa de Condomínio;Recreio dos Bandeirantes;5;3;5;350;6000.0;495.0;296.0;19.402857142857144;Casa
Apartamento;Vila Isabel;2;1;0;84;1700.0;550.0;108.0;28.071428571428573;Apartamento
Apartamento;Copacabana;3;2;1;200;6500.0;1600.0;0.0;40.5;Apartamento
Apartamento;Ipanema;4;2;2;257;8000.0;2700.0;680.0;44.280155642023345;Apartamento
Apartamento;Tijuca;3;2;1;110;2250.0;900.0;0.0;28.636363636363637;Apartamento
Apartamento;Glória;2;0;0;70;2200.0;580.0;82.0;40.885714285714286;Apartamento
Apartamento;Copacabana;3;1;1;130;6300.0;1420.0;238.0;61.215384615384615;Apartamento
Apartamento;Copacabana;2;0;1;140;7800.0;1300.0;198.0;66.41428571428571;Apartamento
Apartamento;Copacabana;1;0;0;45;1300.0;570.0;59.0;42.86666666666667;Apartamento
Apartamento;Barra da Tijuca;1;2;1;102;3800.0;1500.0;0.0;51.96078431372549;Apartamento
Apartamento;Copacabana;4;1;0;155;5000.0;1500.0;230.0;43.41935483870968;Apartamento
Apartamento;Copacabana;3;1;1;171;8000.0;1374.0;537.0;57.95906432748538;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;89;3700.0;2518.0;0.0;69.86516853932584;Apartamento
Apartamento;Campo Grande;2;1;0;47;800.0;221.0;0.0;21.72340425531915;Apartamento
Conjunto Comercial/Sala;Botafogo;0;4;0;190;12500.0;2000.0;1226.0;82.76842105263158;Apartamento
Loja/Salão;Méier;0;0;0;39;1000.0;735.0;222.0;50.17948717948718;Apartamento
Casa;Barra da Tijuca;6;4;5;600;29000.0;1300.0;0.0;50.5;Casa
Apartamento;Ipanema;3;1;2;250;11500.0;2300.0;1037.0;59.348;Apartamento
Quitinete;Lapa;0;0;0;25;800.0;350.0;0.0;46.0;Apartamento
Apartamento;Cachambi;2;0;0;60;1300.0;250.0;20.0;26.166666666666668;Apartamento
Conjunto Comercial/Sala;Centro;0;1;0;78;3800.0;781.0;319.0;62.82051282051282;Apartamento
Conjunto Comercial/Sala;Centro;0;1;0;90;2700.0;1445.0;155.0;47.77777777777778;Apartamento
Apartamento;Flamengo;1;0;0;43;1800.0;432.0;58.0;53.25581395348837;Apartamento
Apartamento;Jardim Botânico;2;1;1;80;3500.0;755.0;270.0;56.5625;Apartamento
